config_folder,game_id,crew_size,imposter_count,winner_reason,num_ejections,num_directives_total,num_directives_imposter,num_representatives_total,num_representatives_imposter,num_commissives_total,num_commissives_imposter,num_expressives_total,num_expressives_imposter,num_missing_total,num_missing_imposter
FOUR_V_THREE_LOG,Game 25,7,3,0,1,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 26,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 27,7,3,0,3,66.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0
FOUR_V_THREE_LOG,Game 28,7,3,0,2,41.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 29,7,3,0,1,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FOUR_V_THREE_LOG,Game 30,7,3,0,1,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 31,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 32,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 33,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 34,7,3,0,0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 35,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 36,7,3,0,2,35.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
FOUR_V_THREE_LOG,Game 37,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 38,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 39,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 40,7,3,0,1,33.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
FOUR_V_THREE_LOG,Game 41,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 42,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 43,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 44,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 45,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 46,7,3,0,4,59.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
FOUR_V_THREE_LOG,Game 47,7,3,0,2,40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
FOUR_V_THREE_LOG,Game 48,7,3,0,1,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 49,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 50,7,3,1,3,64.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
FOUR_V_THREE_LOG,Game 51,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 52,7,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOUR_V_THREE_LOG,Game 53,7,3,0,1,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
